game_genre,game_type,game_name,game_image
1,1,God of War,game1.jpg
1,1,Resident Evil 2,static/img/re2.png
1,1,Dead Cells,static/img/dc.png
1,1,Devil May Cry 5,static/img/dmc5.jpg
1,1,Grand Theft Auto V,static/img/gtav.jpg
1,2,Call of Duty: Mobile,static/img/gow.jpg
1,2,Soul Knight,static/img/gow.jpg
1,2,Garena Free Fire,static/img/gow.jpg
1,2,Gunfire Reborn,static/img/gow.jpg
1,2,Half-Life 2,static/img/gow.jpg
1,3,Super Mario Odyssey,static/img/gow.jpg
1,3,Bayonetta,static/img/gow.jpg
1,3,Metal Gear Solid,static/img/gow.jpg
1,3,Red Dead Redemption,static/img/gow.jpg
1,3,Horizon,static/img/gow.jpg
2,1,Valorant,static/img/gow.jpg
2,1,Fortnite,static/img/gow.jpg
2,1,Crossfire,static/img/gow.jpg
2,1,Counter-Strike 2,static/img/gow.jpg
2,1,Destiny 2,static/img/gow.jpg
2,2,Call of Duty: Warzone,static/img/gow.jpg
2,2,PUBG,static/img/gow.jpg
2,2,Apex Legends,static/img/gow.jpg
2,2,Rainbow Six Siege,static/img/gow.jpg
2,2,Overwatch,static/img/gow.jpg
2,3,Bulletstorm,static/img/gow.jpg
2,3,Back 4 Blood,static/img/gow.jpg
2,3,Left 4 Dead 2,static/img/gow.jpg
2,3,Far Cry 6,static/img/gow.jpg
2,3,DOOM Eternal,static/img/gow.jpg
3,1,Cyberpunk 2077,static/img/gow.jpg
3,1,Diablo IV,static/img/gow.jpg
3,1,Disco Elysium,static/img/gow.jpg
3,1,Fallout: New Vegas,static/img/gow.jpg
3,1,Starfield,static/img/gow.jpg
3,2,Genshin Impact,static/img/gow.jpg
3,2,Chrono Trigger,static/img/gow.jpg
3,2,The Banner Saga,static/img/gow.jpg
3,2,Exiled Kingdoms,static/img/gow.jpg
3,2,Transistor,static/img/gow.jpg
3,3,Bloodborne,static/img/gow.jpg
3,3,Final Fantasy XIII,static/img/gow.jpg
3,3,Secret of Mana,static/img/gow.jpg
3,3,Xenogears,static/img/gow.jpg
3,3,Planescape: Torment,static/img/gow.jpg
4,1,Fear & Hunger,static/img/gow.jpg
4,1,Mad Father,static/img/gow.jpg
4,1,Darkest Dungeon,static/img/gow.jpg
4,1,Prey,static/img/gow.jpg
4,1,The Crooked Man,static/img/gow.jpg
4,2,Dead by Daylight,static/img/gow.jpg
4,2,Eyes,static/img/gow.jpg
4,2,Horrorfield,static/img/gow.jpg
4,2,Antarctica 88,static/img/gow.jpg
4,2,Into the Dead,static/img/gow.jpg
4,3,Vampyr,static/img/gow.jpg
4,3,Call of Cthulhu,static/img/gow.jpg
4,3,World of Horror,static/img/gow.jpg
4,3,Dredge,static/img/gow.jpg
4,3,Detention,static/img/gow.jpg
5,1,Dirt 5,static/img/gow.jpg
5,1,Wreckfest,static/img/gow.jpg
5,1,Burnout Paradise,static/img/gow.jpg
5,1,Asphalt 9: Legends,static/img/gow.jpg
5,1,Crash Drive 3,static/img/gow.jpg
5,2,Real Racing 3,static/img/gow.jpg
5,2,Need for Speed: No Limits,static/img/gow.jpg
5,2,Mario Kart Tour,static/img/gow.jpg
5,2,F1 Mobile Racing,static/img/gow.jpg
5,2,CarX Street,static/img/gow.jpg
5,3,Forza Horizon 5,static/img/gow.jpg
5,3,Gran Turismo 7,static/img/gow.jpg
5,3,Need for Speed Unbound,static/img/gow.jpg
5,3,Hot Wheels Unleashed 2: Turbocharged,static/img/gow.jpg
5,3,Horizon Chase 2,static/img/gow.jpg
6,1,Baba Is You,static/img/gow.jpg
6,1,Unpacking,static/img/gow.jpg
6,1,The Witness,static/img/gow.jpg
6,1,World of Goo,static/img/gow.jpg
6,1,Patrick's Parabox,static/img/gow.jpg
6,2,Monument Valley,static/img/gow.jpg
6,2,Hidden Folks,static/img/gow.jpg
6,2,Mini Metro,static/img/gow.jpg
6,2,Two Dots,static/img/gow.jpg
6,2,Cut the Rope,static/img/gow.jpg
6,3,Portal 2,static/img/gow.jpg
6,3,Tetris Effect,static/img/gow.jpg
6,3,Fez,static/img/gow.jpg
6,3,Peggle,static/img/gow.jpg
6,3,The Room,static/img/gow.jpg
7,1,Life is Strange,static/img/gow.jpg
7,1,Gone Home,static/img/gow.jpg
7,1,Until Dawn,static/img/gow.jpg
7,1,Ratchet & Clank: Rift Apart,static/img/gow.jpg
7,1,Far Cry 4,static/img/gow.jpg
7,2,Pokemon GO,static/img/gow.jpg
7,2,80 Days,static/img/gow.jpg
7,2,A3,static/img/gow.jpg
7,2,Thimbleweed Park,static/img/gow.jpg
7,2,Oxenfree,static/img/gow.jpg
7,3,The Walking Dead,static/img/gow.jpg
7,3,Marvel's Spider-Man,static/img/gow.jpg
7,3,A Way Out,static/img/gow.jpg
7,3,Myst,static/img/gow.jpg
7,3,Astroneer,static/img/gow.jpg
8,1,Rocket League,static/img/gow.jpg
8,1,Super Mega Baseball 3,static/img/gow.jpg
8,1,Riders Republic,static/img/gow.jpg
8,1,EA Sports FC 24,static/img/gow.jpg
8,1,FIFA 22,static/img/gow.jpg
8,2,EA Sports FC Mobile,static/img/gow.jpg
8,2,WWE SuperCard,static/img/gow.jpg
8,2,8 Ball Pool,static/img/gow.jpg
8,2,NBA 2K18,static/img/gow.jpg
8,2,Hockey All Stars,static/img/gow.jpg
8,3,WWE 2K23,static/img/gow.jpg
8,3,NBA 2K24,static/img/gow.jpg
8,3,Madden NFL 24,static/img/gow.jpg
8,3,Roller Champions,static/img/gow.jpg
8,3,MLB The Show 23,static/img/gow.jpg
